nodeName	Degree
ZFP64	26
RNF146	11
SHFL	70
KBTBD4	13
CHCHD3	44
GFOD1	24
MIS18A	34
WWOX	116
NUDT4	5
CRIPT	11
NDUFAF4	3
DLGAP2	25
CCDC88C	5
PAK5	39
USP35	2
RCOR3	81
FBLN5	10
MALT1	21
PLEKHB1	18
TUBGCP4	44
USP25	16
CLEC2D	33
FEZ2	18
EVL	17
KLF15	48
AK3	12
ZNF180	15
STOML2	4
ZNF225	1
FBXO4	8
APLN	19
ING4	17
LHX6	20
TRIM35	59
BAIAP2	43
GNE	61
CLEC11A	6
BTRC	38
RXYLT1	3
KLHL20	75
MRPS17	3
CIAO2B	20
NAALAD2	5
TSC22D4	73
CCDC9	6
GPSM3	55
ASB3	39
PCDHGB1	2
RAI2	18
TSSC4	18
MRFAP1	57
KCNMB2	2
IRAG1	5
DNMT3A	15
LMO4	128
SEC23B	13
GOSR2	49
STX5	43
SEC23A	31
FAM107A	33
SSX2IP	110
DTNB	59
ANKRD11	86
KAT5	263
RPL9|RPL9P7|RPL9P8|RPL9P9	38
AQP1	131
CWF19L2	81
FAM161A	139
TCEANC	135
MCRS1	129
ZMAT2	52
FAM50B	48
CDC7	47
DDX6	76
UBASH3A	78
BYSL	147
ZNF329	26
KIF9	61
A8K932	11
F8W6G5	12
PRC1	8
COPB1	20
UBE2H	49
ELOA	49
DLGAP5	4
UBE2U	74
NUDT18	38
MCM10	33
APTX	17
CDC20B	24
CDKL3	28
ELOA2	21
DZIP1L	9
SYTL4	22
PBK	12
CDK5RAP2	26
PNKP	50
RIBC2	27
FAM124B	68
APEX2	12
KRT31	357
KRT40	378
KRTAP10-8	389
KRTAP5-9	199
NOTCH2NLA	362
BLMH	25
RCHY1	55
ARID5A	123
CBFA2T3	12
USP54	88
BET1	53
SEC22B	56
PSEN2	59
ARHGDIA	34
SMARCA4	19
SMARCB1	49
RUVBL2	12
GRB2	466
PRRG2	11
ITSN2	78
GSDMB	7
NME4	52
NPHP1	9
TGOLN2	17
REN	3
ACE	2
ANPEP	1
AGTR2	1
SLFN12	17
VKORC1L1	17
TMEM185A	9
CCDC26	23
ACE2	4
DPP3	9
EIF2B4	14
SNX12	15
DISP3	5
UQCC2	13
ARPC3	30
PRKACG	3
CYSRT1	519
SERTAD3	50
IDE	14
NPR3	3
GEMIN4	38
PRMT6	85
PPARG	42
CREBBP	52
Q53FC7	57
CSNK2A1	73
UPF2	71
NPM1	16
APPBP2	124
KRTAP3-2	74
KRT34	255
NOTCH2NLC	217
PPARD	29
KRTAP1-1	189
KRTAP1-3	175
MYBPC2	33
KRTAP10-7	287
EHMT2	50
GAPDH	63
