nodeName	Degree
IGHV3-7	166
IGHV3-9	166
IGHV4-34	166
IGHV4-39	166
IGHV4-59	166
IGHV7-81	166
IGKC	168
IGKV1-12	163
IGKV1-16	163
IGKV1-17	163
IGKV1-33	163
IGKV1-39	163
IGKV1-5	165
IGKV1D-12	163
IGKV1D-16	163
IGKV2-29	163
IGKV2-30	163
IGKV2D-28	163
IGKV2D-30	163
IGKV2D-40	163
IGKV3-11	163
IGKV3-15	163
IGKV3-20	163
IGKV3D-20	163
IGKV4-1	163
IGKV5-2	163
IGLC1	165
IGLC2	164
IGLC3	163
IGLC6	163
IGLC7	163
IGLV	163
IGLV1-40	163
IGLV1-44	163
IGLV1-47	163
IGLV1-51	163
IGLV2-11	163
IGLV2-14	163
IGLV2-23	163
IGLV2-8	163
IGLV3-1	163
IGLV3-19	163
IGLV3-21	163
IGLV3-25	165
IGLV3-27	163
IGLV6-57	163
IGLV7-43	163
IL7R	128
KIAA0319	46
LDLR	64
LDLRAP1	51
LRP2	89
M6PR	60
NECAP1	110
OCRL	143
PACSIN2	109
PBX3	88
PICALM	56
RAB5A	148
REPS1	110
REPS2	62
SCARB2	48
SGIP1	109
SLC18A3	60
SLC2A8	46
SNX9	121
STAM	92
STAM2	90
STON2	60
SYNJ1	149
SYNJ2	143
SYT1	81
SYT2	61
SYT9	53
TF	63
TFRC	63
TGOLN2	48
TRIP10	126
V1-11	153
V1-13	153
V1-16	153
V1-20	153
V1-3	153
V1-5	153
V1-7	153
V1-9	153
V2-11	153
V2-15	153
V2-17	153
V2-19	153
V2-8	153
V3-2	153
V3-3	153
V3-4	153
V4-1	153
V4-2	153
V4-6	153
V5-1	153
V5-4	153
V5-6	153
VAMP2	142
VAMP3	79
VAMP4	83
VAMP7	62
VAMP8	70
WNT5A	133
NFKB1	555
APOA1	59
APOA2	39
APOA4	29
APOC2	26
APOC3	35
APOE	47
B3GALT6	19
B3GAT1	19
B3GAT2	19
B3GAT3	23
B4GALT7	19
CHRM1	90
CHRNA1	21
CHRNG	8
EXT1	13
EXT2	14
GLCE	12
HPSE	15
HPSE2	12
HS2ST1	12
HS3ST1	12
HS3ST2	12
HS3ST3A1	12
HS3ST3B1	12
HS3ST5	12
HS3ST6	12
HS6ST1	12
HS6ST2	12
LAMA1	43
LAMA2	42
LAMA4	40
LAMB1	50
LAMB2	43
LRP1	48
LRP4	14
NCAM1	58
NDST1	13
NDST2	12
PTPRS	13
RAPSN	20
XYLT1	19
XYLT2	19
CCNB1	213
CCNB2	168
CDK1	418
NDC1	145
NUP155	145
NUP188	145
NUP205	145
NUP35	146
NUP54	145
NUP58	146
NUP62	146
NUP93	145
POM121	145
RAD21	367
SMC1A	165
STAG1	149
STAG2	149
CDCA5	97
EML4	105
ESPL1	101
PDS5A	101
PDS5B	101
WAPL	101
HDAC1	263
USF1	206
TFAP2A	211
PPP6C	64
DLG1	71
DLG3	74
CSNK1D	296
CSNK1E	261
CSNK2B	103
LEF1	120
NOTCH1	136
TCF7L2	105
PSMA1	208
PSMA2	208
PSMA3	214
PSMA4	208
PSMA5	207
PSMA6	208
PSMA7	207
PSMA8	195
PSMB1	206
PSMB10	200
PSMB11	177
PSMB2	200
PSMB3	207
PSMB4	198
PSMB5	197
PSMB6	197
PSMB7	206
PSMB8	192
PSMB9	194
PSMC1	209
PSMC2	206
PSMC3	204
PSMC4	206
PSMC5	214
PSMC6	204
PSMD1	201
PSMD10	191
PSMD11	206
PSMD12	204
PSMD13	202
PSMD14	206
PSMD2	201
PSMD3	198
PSMD4	203
PSMD5	190
PSMD6	203
PSMD7	199
PSMD8	197
PSMD9	201
PSME1	192
PSME2	191
PSME3	195
PSME4	178
PSMF1	191
SEM1	199
DVL3	149
TBL1X	124
TBL1XR1	123
ASH2L	95
KMT2D	84
RBBP5	104
POU2F1	203
GSK3A	58
PPP2CA	255
PPP2CB	122
PPP2R5A	85
PPP2R5B	80
PPP2R5C	88
PPP2R5D	92
PPP2R5E	76
RASA1	145
CSNK1G2	84
AMER1	71
ARR3	77
AXIN1	139
AXIN2	106
BCL9	34
BCL9L	14
BTRC	231
CSNK1A1L	64
CSNK1G3	74
CSNK2A1	111
CSNK2A2	79
CTBP1	86
CUL1	221
DKFZP434G2016	6
DKFZP586H0919	39
DKFZP586M1622	6
DVL1P1	11
FBXW11	165
FRAT1	33
FRAT2	31
FZD1	83
FZD2	104
FZD5	91
LRP5	88
LRP6	104
PYGO1	34
PYGO2	34
SAG	70
SIAH1	112
SIAH2	111
SKP1	240
TBL1Y	17
TCF7	47
TCF7L1	72
TLE1	41
WNT1	130
WNT3A	88
WNT8A	69
WNT8B	69
ZRANB1	3
HRAS	408
COPA	116
PTK6	39
KDELR2	57
KDELR3	57
BET1	93
BRCA1	244
CNIH1	34
CREB1	302
CSK	144
DKFZP451O0517	75
ELK1	55
FCHO1	88
FCHO2	89
FGFR1	139
FGFR2	156
FGFR3	150
FGFR4	143
FLT1	103
FLT4	98
GOLGA2	115
GORASP1	110
GOSR2	111
IGF1R	160
IL1RAP	109
IL1RL1	87
IL33	85
INSR	136
IRAK1	171
IRAK4	135
KRAS	351
LRIG1	20
MYD88	171
NRAS	342
PAG1	51
PIK3C2A	142
PTPN11	339
PTPN3	20
PTPRK	21
RARA	148
