nodeName	Degree
BNIP3	55
MFF	104
DTX2	119
ERGIC3	204
GJA8	119
RNF19B	30
SLC7A1	55
ERLIN1	11
CLEC17A	21
SEC23IP	4
MIA3	10
CADPS	35
TNFSF14	21
TMEM45B	38
CCDC50	6
TNIP1	71
PNMA2	32
NBN	13
UBE2D2	42
CEP44	46
MDC1	9
TMEM79	35
SEPTIN3	11
MAD1L1	40
HEL-S-70	15
PCYT1A	13
KIF24	13
ZNF496	12
KRTAP10-8	388
FSD2	86
ZBTB10	19
EPN2	31
CALCOCO1	13
ZNF346	13
WASHC3	47
PPCDC	12
FAM118B	9
KANK2	190
CLK3	37
C2CD6	56
TOMM20L	4
EPN3	10
